DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250406 11:26:44;20250406 14:26:44;34,2;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 10:56:44;20250406 13:56:44;35,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 12:41:48;20250406 15:41:48;28,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 03:42:11;20250406 06:42:11;3,4;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 04:26:33;20250406 07:26:33;8,9;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 03:56:33;20250406 06:56:33;5,2;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 15:26:58;20250406 18:26:58;9,9;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 10:41:44;20250406 13:41:44;36,0;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 08:26:39;20250406 11:26:39;33,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 09:56:43;20250406 12:56:43;36,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 14:11:51;20250406 17:11:51;19,0;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 09:41:42;20250406 12:41:42;36,5;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 09:26:41;20250406 12:26:41;36,2;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 11:56:46;20250406 14:56:46;32,3;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 08:56:40;20250406 11:56:40;35,3;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 08:11:38;20250406 11:11:38;32,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 08:41:39;20250406 11:41:39;34,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 06:11:33;20250406 09:11:33;21,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 15:41:58;20250406 18:41:58;8,0;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 04:41:30;20250406 07:41:30;10,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 05:11:31;20250406 08:11:31;14,5;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 10:26:43;20250406 13:26:43;36,4;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 04:56:33;20250406 07:56:33;12,7;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 11:41:45;20250406 14:41:45;33,3;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 12:27:18;20250406 15:27:18;29,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 12:56:48;20250406 15:56:48;27,1;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 07:11:05;20250406 10:11:05;27,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 15:57:36;20250406 18:57:36;6,0;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 13:11:48;20250406 16:11:48;25,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 16:12:38;20250406 19:12:38;4,2;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 06:26:34;20250406 09:26:34;23,3;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 15:11:58;20250406 18:11:58;11,7;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 14:41:52;20250406 17:41:52;15,4;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 05:41:32;20250406 08:41:32;18,1;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 09:11:40;20250406 12:11:40;35,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 13:26:49;20250406 16:26:49;24,1;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 14:56:53;20250406 17:56:53;13,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 05:56:33;20250406 08:56:33;19,9;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 07:56:37;20250406 10:56:37;31,7;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 07:26:36;20250406 10:26:36;29,3;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 12:11:47;20250406 15:11:47;31,1;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 11:11:44;20250406 14:11:44;34,9;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 06:56:36;20250406 09:56:36;26,4;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 07:41:36;20250406 10:41:36;30,5;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 13:56:50;20250406 16:56:50;20,8;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 14:26:51;20250406 17:26:51;17,2;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 13:41:49;20250406 16:41:49;22,4;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 10:11:43;20250406 13:11:43;36,6;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
20250406 05:27:02;20250406 08:27:02;16,4;436;0,0285;0,7873;1,0339;1,0435;1;427;0,0986;1,0732;1,0472;1,0564;1
