DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250405 11:07:27;20250405 14:07:27;34,8;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 08:07:19;20250405 11:07:19;32,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 12:53:31;20250405 15:53:31;27,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 12:07:59;20250405 15:07:59;31,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 08:03:24;20250405 11:03:24;31,8;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 13:22:30;20250405 16:22:30;24,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 13:08:01;20250405 16:08:01;25,7;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 14:08:02;20250405 17:08:02;19,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 14:53:04;20250405 17:53:04;13,8;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 10:07:24;20250405 13:07:24;36,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 14:23:03;20250405 17:23:03;17,4;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 09:07:21;20250405 12:07:21;35,3;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 13:53:02;20250405 16:53:02;20,9;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 12:37:59;20250405 15:37:59;28,6;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 15:38:10;20250405 18:38:10;8,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 15:23:09;20250405 18:23:09;10,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 11:52:59;20250405 14:52:59;32,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 09:22:21;20250405 12:22:21;35,8;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 09:52:23;20250405 12:52:23;36,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 15:08:39;20250405 18:08:39;11,9;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 08:52:20;20250405 11:52:20;34,7;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 10:22:24;20250405 13:22:24;36,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 10:37:56;20250405 13:37:56;35,8;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 08:37:50;20250405 11:37:50;34,0;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 10:52:26;20250405 13:52:26;35,3;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 12:22:28;20250405 15:22:28;29,9;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 14:38:03;20250405 17:38:03;15,6;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 16:08:50;20250405 19:08:50;4,4;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 11:37:27;20250405 14:37:27;33,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 11:22:27;20250405 14:22:27;34,0;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 13:38:01;20250405 16:38:01;22,6;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 08:22:19;20250405 11:22:19;33,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 09:37:53;20250405 12:37:53;36,1;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
20250405 15:53:43;20250405 18:53:43;6,2;430;0,0288;0,7921;1,0118;1,0212;1;426;0,0945;1,0978;1,0153;1,0247;1
